                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.41758,                0.23086,                0.81334,                0.95288,                0.97748,                0.98803,                0.71807,                0.62153,                0.25757,                0.86355,             0.00069335,             0.00069335,             0.00069335
                    107,                0.41324,                0.23053,                0.81254,                0.98139,                0.86872,                0.96783,                0.73227,                0.55282,                 0.2478,                0.84353,             0.00068628,             0.00068628,             0.00068628
                    108,                0.42355,                0.23388,                0.81387,                0.97452,                0.92706,                0.97601,                0.73663,                0.57982,                0.25162,                0.85555,              0.0006792,              0.0006792,              0.0006792
                    109,                 0.4227,                0.23402,                0.81274,                0.98387,                0.95015,                 0.9888,                0.74471,                0.53506,                0.24286,                0.83673,             0.00067213,             0.00067213,             0.00067213
                    110,                0.41452,                0.23034,                0.81265,                0.97426,                0.94784,                0.97303,                0.75069,                0.55481,                0.24055,                0.84029,             0.00066506,             0.00066506,             0.00066506
                    111,                0.41877,                 0.2324,                 0.8146,                0.92701,                0.94897,                0.95455,                0.70157,                0.55948,                0.24656,                0.84348,             0.00065798,             0.00065798,             0.00065798
                    112,                0.41059,                0.22979,                 0.8139,                0.99467,                0.93443,                0.98467,                0.72364,                0.61469,                0.25877,                0.86394,             0.00065091,             0.00065091,             0.00065091
                    113,                0.41783,                0.23087,                0.81369,                0.99395,                0.93146,                 0.9899,                0.73035,                0.60342,                0.25236,                0.85807,             0.00064384,             0.00064384,             0.00064384
                    114,                0.40837,                0.22581,                0.81089,                0.97418,                0.97762,                0.98959,                0.73724,                0.56388,                0.24297,                0.84384,             0.00063676,             0.00063676,             0.00063676
                    115,                0.40815,                0.22718,                0.81092,                  0.977,                0.97748,                0.98348,                0.74198,                0.57045,                0.24943,                0.84265,             0.00062969,             0.00062969,             0.00062969
                    116,                0.40407,                0.22733,                0.80927,                 0.9996,                0.96217,                0.99078,                0.72036,                0.62242,                0.26104,                 0.8685,             0.00062262,             0.00062262,             0.00062262
                    117,                0.40291,                0.22501,                0.81198,                0.99457,                 0.9526,                0.99078,                0.73591,                0.52687,                0.23554,                0.83789,             0.00061554,             0.00061554,             0.00061554
                    118,                0.40216,                0.22442,                0.80983,                0.95666,                0.97763,                0.98693,                 0.7251,                0.60193,                0.25074,                0.86127,             0.00060847,             0.00060847,             0.00060847
                    119,                0.41044,                0.22997,                0.81314,                 0.9561,                0.99435,                0.99277,                0.72273,                0.58575,                0.24808,                0.85282,             0.00060139,             0.00060139,             0.00060139
                    120,                0.39439,                0.22238,                0.81006,                0.95587,                0.97252,                0.99151,                0.74184,                0.56453,                0.24187,                 0.8477,             0.00059432,             0.00059432,             0.00059432
                    121,                0.39419,                0.22049,                0.80941,                 0.9558,                0.96905,                 0.9904,                0.74036,                0.53183,                0.23325,                0.84026,             0.00058725,             0.00058725,             0.00058725
                    122,                0.39568,                0.22184,                0.80983,                0.95213,                0.96517,                0.98059,                0.72697,                0.48157,                0.22063,                0.82292,             0.00058017,             0.00058017,             0.00058017
                    123,                0.39965,                 0.2238,                0.80917,                0.93463,                0.97763,                0.98108,                0.72384,                 0.5357,                0.23542,                0.84046,              0.0005731,              0.0005731,              0.0005731
                    124,                0.38679,                0.21607,                0.80925,                0.97091,                0.97763,                0.98843,                0.74586,                0.53579,                0.23488,                0.84427,             0.00056603,             0.00056603,             0.00056603
                    125,                0.38615,                0.21559,                0.80852,                0.97241,                0.97541,                0.98843,                0.73942,                0.55641,                0.24019,                0.84681,             0.00055895,             0.00055895,             0.00055895
                    126,                0.38584,                0.21765,                0.80897,                0.99874,                0.95516,                0.99255,                0.74184,                0.52199,                0.22963,                0.83564,             0.00055188,             0.00055188,             0.00055188
                    127,                 0.3997,                0.22154,                0.81182,                0.96628,                0.95518,                0.97547,                 0.7237,                0.57988,                0.24526,                 0.8605,             0.00054481,             0.00054481,             0.00054481
                    128,                0.39065,                0.21983,                0.81036,                0.97091,                0.94712,                0.98261,                0.73594,                 0.5702,                0.24101,                0.85594,             0.00053773,             0.00053773,             0.00053773
                    129,                0.39379,                0.22146,                0.80835,                0.96864,                 0.9507,                0.97877,                0.71703,                 0.5771,                0.24641,                0.85196,             0.00053066,             0.00053066,             0.00053066
                    130,                0.38732,                0.21725,                0.80805,                0.97543,                0.97748,                0.98628,                0.73863,                 0.5424,                0.23191,                0.84243,             0.00052359,             0.00052359,             0.00052359
                    131,                0.38022,                0.21461,                0.80899,                0.97309,                0.97748,                0.98764,                0.74183,                0.54067,                0.23377,                0.84783,             0.00051651,             0.00051651,             0.00051651
                    132,                0.37653,                0.21356,                0.80777,                0.97152,                0.96679,                0.98685,                0.73446,                0.52023,                0.22936,                0.83551,             0.00050944,             0.00050944,             0.00050944
                    133,                0.38777,                0.21677,                0.80787,                0.94294,                0.96884,                0.98916,                0.73528,                0.54502,                0.23303,                0.84513,             0.00050236,             0.00050236,             0.00050236
                    134,                0.37933,                0.21285,                 0.8077,                0.96082,                0.97748,                0.98568,                0.73765,                0.53714,                0.23468,                0.84351,             0.00049529,             0.00049529,             0.00049529
                    135,                0.37992,                 0.2166,                0.80858,                0.98455,                0.93492,                0.98917,                0.73183,                0.59332,                0.24656,                0.86292,             0.00048822,             0.00048822,             0.00048822
                    136,                 0.3771,                0.21445,                0.80842,                0.98119,                0.96489,                0.99165,                0.74479,                0.57184,                0.23801,                0.85424,             0.00048114,             0.00048114,             0.00048114
                    137,                0.37897,                0.21373,                0.80837,                0.97487,                0.97756,                0.99257,                0.74369,                0.54489,                 0.2348,                0.84917,             0.00047407,             0.00047407,             0.00047407
                    138,                0.37572,                0.21341,                0.80675,                0.96888,                0.97515,                 0.9893,                0.75122,                0.49492,                0.22506,                0.82843,               0.000467,               0.000467,               0.000467
                    139,                 0.3753,                0.21351,                0.80568,                0.97403,                0.96129,                0.99257,                0.75774,                0.51399,                0.22563,                0.83602,             0.00045992,             0.00045992,             0.00045992
                    140,                0.36594,                0.20859,                0.80461,                0.98614,                0.93372,                0.98756,                0.73016,                0.56026,                0.23618,                0.84837,             0.00045285,             0.00045285,             0.00045285
                    141,                0.37593,                0.21156,                0.80729,                0.95271,                0.97733,                0.98835,                0.74187,                0.57879,                0.23643,                0.85728,             0.00044578,             0.00044578,             0.00044578
                    142,                0.37602,                0.21116,                 0.8078,                0.99361,                0.92129,                0.98169,                  0.747,                0.50369,                0.22528,                 0.8296,              0.0004387,              0.0004387,              0.0004387
                    143,                0.37106,                0.21328,                0.80526,                0.98717,                0.95567,                0.99263,                0.72903,                0.53053,                0.23132,                0.84116,             0.00043163,             0.00043163,             0.00043163
                    144,                0.36982,                0.21102,                0.80664,                0.92834,                0.95541,                0.96951,                0.75869,                0.48612,                0.22072,                0.82892,             0.00042456,             0.00042456,             0.00042456
                    145,                0.37105,                0.21074,                0.80684,                0.97331,                0.97733,                0.99256,                 0.7495,                0.53847,                0.23068,                0.84042,             0.00041748,             0.00041748,             0.00041748
                    146,                0.36229,                0.20729,                0.80484,                0.97708,                0.98013,                0.99381,                0.73896,                0.55132,                0.23155,                0.84749,             0.00041041,             0.00041041,             0.00041041
                    147,                0.36258,                0.20704,                0.80416,                0.98289,                0.95672,                0.98811,                0.73852,                0.57482,                0.23716,                0.85709,             0.00040334,             0.00040334,             0.00040334
                    148,                0.35712,                0.20494,                0.80337,                0.95871,                 0.9755,                0.98855,                0.73185,                0.54201,                 0.2304,                0.84349,             0.00039626,             0.00039626,             0.00039626
                    149,                0.36371,                0.20679,                0.80497,                0.96877,                0.97741,                0.99146,                0.73941,                0.57417,                0.23681,                0.85983,             0.00038919,             0.00038919,             0.00038919
