                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.36438,                 0.1902,                 0.8188,                0.97831,                0.97388,                0.99159,                0.79031,                0.60609,                 0.2282,                0.86529,             0.00030049,             0.00030049,             0.00030049
                    120,                0.33696,                0.18284,                0.81127,                0.97877,                0.97203,                0.99475,                0.81342,                0.58298,                0.22069,                0.85903,             0.00029695,             0.00029695,             0.00029695
                    121,                0.37974,                0.19313,                0.82475,                0.97795,                0.99351,                0.99379,                0.78767,                0.57895,                0.21824,                0.86027,             0.00029342,             0.00029342,             0.00029342
                    122,                0.35404,                0.18867,                0.81337,                0.98037,                0.99978,                0.99412,                0.79714,                0.57487,                0.22194,                0.85651,             0.00028988,             0.00028988,             0.00028988
                    123,                 0.3517,                0.18568,                0.81949,                0.97815,                0.99962,                0.99488,                0.81004,                0.56826,                0.21483,                0.85689,             0.00028635,             0.00028635,             0.00028635
                    124,                0.33309,                0.18175,                0.81319,                0.96286,                0.97464,                0.99253,                0.80865,                 0.5676,                0.22106,                0.85694,             0.00028282,             0.00028282,             0.00028282
                    125,                0.33036,                0.18153,                0.81502,                0.98169,                0.99978,                 0.9948,                0.80177,                0.56628,                0.21586,                0.85522,             0.00027928,             0.00027928,             0.00027928
                    126,                0.35597,                0.18675,                0.82124,                0.98091,                0.99755,                0.99332,                 0.8025,                0.58888,                 0.2227,                0.86612,             0.00027575,             0.00027575,             0.00027575
                    127,                 0.3324,                0.18218,                0.81001,                0.97739,                0.98871,                0.99486,                 0.8063,                0.56156,                0.21754,                0.85659,             0.00027221,             0.00027221,             0.00027221
                    128,                0.34716,                0.18603,                0.81246,                0.99194,                0.99741,                0.99499,                0.79775,                0.54954,                0.21067,                0.85063,             0.00026868,             0.00026868,             0.00026868
                    129,                0.35647,                0.18713,                0.81822,                0.98855,                0.97756,                0.99285,                0.79881,                0.59341,                0.22001,                 0.8729,             0.00026514,             0.00026514,             0.00026514
                    130,                0.32204,                0.17627,                0.81337,                0.95358,                0.99546,                0.98666,                0.79921,                0.60009,                0.22505,                0.87715,             0.00026161,             0.00026161,             0.00026161
                    131,                0.31598,                0.17274,                0.81054,                0.97798,                0.97192,                0.98922,                0.80184,                0.57706,                0.22075,                0.86307,             0.00025808,             0.00025808,             0.00025808
                    132,                0.33017,                0.17794,                0.81121,                0.98487,                0.97756,                0.97948,                0.79686,                0.59394,                0.22388,                0.87598,             0.00025454,             0.00025454,             0.00025454
                    133,                0.32197,                0.17318,                 0.8077,                0.98375,                0.97555,                0.98993,                0.81715,                0.58089,                0.21679,                0.86755,             0.00025101,             0.00025101,             0.00025101
                    134,                 0.3099,                0.17248,                0.80293,                0.98291,                 0.9531,                0.98494,                0.82251,                0.58323,                0.22084,                0.86921,             0.00024747,             0.00024747,             0.00024747
                    135,                 0.3377,                0.17935,                0.81759,                0.97754,                0.94773,                0.98615,                0.80916,                 0.5731,                0.21602,                0.86472,             0.00024394,             0.00024394,             0.00024394
                    136,                 0.3145,                0.17287,                0.81307,                0.99219,                0.91067,                0.97262,                0.79072,                0.60385,                0.22422,                0.87121,              0.0002404,              0.0002404,              0.0002404
                    137,                0.32555,                0.17713,                0.80702,                0.96905,                0.95306,                0.98466,                0.81041,                0.54307,                0.21114,                 0.8492,             0.00023687,             0.00023687,             0.00023687
                    138,                0.32158,                0.17535,                0.80771,                0.95273,                 0.9538,                0.98811,                0.80109,                0.57591,                0.21854,                0.86424,             0.00023334,             0.00023334,             0.00023334
                    139,                0.33257,                 0.1786,                0.81612,                0.98724,                 0.9319,                0.98334,                0.78343,                0.55526,                 0.2108,                0.85313,              0.0002298,              0.0002298,              0.0002298
